signal_id,signal_time_jst,signal_time_unix,symbol,mc_band,mc,liquidity,entry_price,sl_price,tp_price,rr_ratio,atr,vwap,rsi,vol_surge,score_total,score_volume,score_vwap,score_rsi,score_liquidity,score_repro,score_penalty,score_pps_bonus,pps,pps_label,range_pct,vwap_dev,signal_count,success_count,success_rate,adjusted_rate,ohlcv_aggregate,rsi_overbought,atr_sl_mult,atr_tp_mult,volume_surge_min,notified,notify_threshold,gecko_url,pool_address,token_address,outcome_checked_at,price_15m,price_30m,price_60m,high_60m,low_60m,sl_hit,tp_hit,outcome,pnl_pct
c4966337,2026-02-26 08:02:58,1772060578,Lobstar,$1M〜$5M,3219857,265233,0.0031475985426849,0.0021513751460245,0.0047415559773416,1.6,0.0003984893586641,0.005825470904369,26.06,0.89,25,0.0,0.0,0.0,15.0,0.0,0.0,10.0,5,強い安値圏,0.03,-45.97,5,0,0.0,0.25,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/AADJrfmWoHVXZhF1UkbHvNC5tqrBpkGdSaxtMYteDm2x,AADJrfmWoHVXZhF1UkbHvNC5tqrBpkGdSaxtMYteDm2x,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,2026-02-26 09:16:55,0.0032717858200498,0.0038747022672917,0.0043562829394579,0.0046582222492097,0.0029748133427702,False,False,WIN+,38.4
912426da,2026-02-26 08:03:00,1772060580,GME,$1M〜$5M,4793203,1272758,0.0006961666730911,0.0006593183520948,0.0007551239866853,1.6,1.4739328398540192e-05,0.0007714289969358,41.62,0.19,25,0.0,0.0,0.0,15.0,4.7,0.0,5.0,4,やや安値圏,0.324,-9.76,10,3,0.3,0.367,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/9tz6vYKiBDLYx2RnGWC5tESu4pyVE4jD6Tm56352UGte,9tz6vYKiBDLYx2RnGWC5tESu4pyVE4jD6Tm56352UGte,8wXtPeU6557ETkp9WHFY1n1EcU6NxDvbAggHGsMYiHsB,2026-02-26 09:16:58,0.0006996244944721,0.0006925522429968,0.0006774362972067,0.0006996244944721,0.0006744744757345,False,False,LOSS-,-2.69
e5276343,2026-02-26 08:03:03,1772060583,gork,$300K〜$1M,879648,130309,0.0008823550282677,0.0007517351704711,0.001100054791262,1.67,4.353995259886636e-05,0.0011388310945798,19.31,0.28,26,0.0,0.0,0.0,15.0,0.8,0.0,10.0,5,強い安値圏,0.313,-22.52,3,0,0.0,0.312,5,85,3.0,5.0,4.0,False,70,https://www.geckoterminal.com/solana/pools/AZmU4Bv6TPHimgqBe5eRsRQ18KKKr2aemHdqmfbVKqvr,AZmU4Bv6TPHimgqBe5eRsRQ18KKKr2aemHdqmfbVKqvr,76EDL5qNcte2ZH29quTaFzagXjWAEY83CATEjyA6pump,2026-02-26 09:17:01,0.0008846721220798,0.0008601643304904,0.001023514126466,0.0010609519034573,0.0008601643304904,False,False,WIN+,16.0
6942ce91,2026-02-26 08:03:06,1772060586,gork,$1M〜$5M,1979600,167716,0.0020944385425137,0.0008994839562518,0.0040063658805328,1.6,0.0004779818345047,0.0012211145326321,74.51,0.21,47,0.0,20.0,20.0,15.0,1.6,0.0,-10.0,1,強い高値圏,0.614,71.52,6,1,0.167,0.318,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/FTVfrnFb48apSPKTBkB5cdTu6AiTRSX5wdV68uTrPiWu,FTVfrnFb48apSPKTBkB5cdTu6AiTRSX5wdV68uTrPiWu,gorkrgj6k4K449Qa4eF1NaWC5cNLQtMsVEikhpGn7fC,2026-02-26 09:17:04,0.0019661682878004,0.0014265017227182,0.0010153844398617,0.0027502474560854,0.0009589290317557,False,False,LOSS-,-51.52
57a12175,2026-02-26 08:03:39,1772060619,GROKIUS,$1M〜$5M,2723136,179065,0.0027404078219373,0.0022334050417999,0.0035516122701573,1.6,0.0002028011120549,0.0034150462862356,35.46,0.22,25,0.0,0.0,0.0,15.0,0.0,0.0,10.0,5,強い安値圏,0.084,-19.75,12,0,0.0,0.147,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/HUsE3ouq2rL2egjy1hURxYiiQw4uuv4QDdvpYedQ8Rdh,HUsE3ouq2rL2egjy1hURxYiiQw4uuv4QDdvpYedQ8Rdh,67ezHLk8PUkjJCXjmmgPbx85VowA52ghfRXa9A8Tpump,2026-02-26 09:17:07,0.0026210821912575,0.0024700623437204,0.0021318664814322,0.0027781233771425,0.0020233498791521,True,False,LOSS,-22.21
5f465afc,2026-02-26 08:03:41,1772060621,DARWIN,$300K〜$1M,634786,71955,0.000643858566312,0.0002850910957912,0.0012418043505135,1.67,0.0001195891568402,0.0005471623201727,49.68,0.43,37,0.0,20.0,0.0,15.0,2.0,0.0,0.0,3,中間,0.305,17.67,5,1,0.2,0.35,5,85,3.0,5.0,4.0,False,70,https://www.geckoterminal.com/solana/pools/J8TNxugiH4QFC9Btciknngt9xozrV4Pq1Qqj9Ak6g1XV,J8TNxugiH4QFC9Btciknngt9xozrV4Pq1Qqj9Ak6g1XV,3o28iKESnNvi7xQcPTxg9aczjzqZN6BzugJFMRHYpump,2026-02-26 09:17:10,0.0006570085646038,0.0008101427212632,0.0008472446395804,0.0008889042609468,0.0005943566505734,False,False,WIN+,31.59
bba025f4,2026-02-26 08:04:14,1772060654,Pippkin,$1M〜$5M,2919801,159000,0.0028928281268529,0.0018411131272902,0.0045755721261533,1.6,0.000420685999825,0.0031669908894458,48.38,0.18,20,0.0,0.0,0.0,15.0,0.4,0.0,5.0,4,やや安値圏,0.306,-8.66,4,0,0.0,0.278,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/GGTdMaanNbGtDd8pGq6JbbSVBcEWbPTggy1VN5TFxDV3,GGTdMaanNbGtDd8pGq6JbbSVBcEWbPTggy1VN5TFxDV3,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,2026-02-26 09:17:43,0.0027946566875345,0.0028893825172376,0.0026369599718494,0.0031419382559789,0.0026027792659772,False,False,LOSS-,-8.84
ee8ca39b,2026-02-26 08:04:17,1772060657,AgenC,$1M〜$5M,1791167,126777,0.0018372995800179,0.0010513699025875,0.0030947870639065,1.6,0.0003143718709721,0.0022034976673924,36.05,0.47,21,0.0,0.0,0.0,15.0,0.8,0.0,5.0,4,やや安値圏,0.373,-16.62,3,0,0.0,0.312,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/BUMh6YebpBvAh4by4oTGJUvzQ9CvH6dqPgrZvXFDMwC1,BUMh6YebpBvAh4by4oTGJUvzQ9CvH6dqPgrZvXFDMwC1,5yC9BM8KUsJTPbWPLfA2N8qH1s9V8DQ3Vcw1G6Jdpump,2026-02-26 09:18:16,0.0017887794949005,0.0017459616368898,0.0018487835774576,0.00193851582961,0.0015878679262917,False,False,WIN+,0.63
e7662adc,2026-02-26 08:04:30,1772060670,PENGUIN,$5M〜$50M,7004410,455305,0.0069380279684473,0.0066146804143457,0.0075038861881252,1.75,0.0001616737770508,0.0070787774435488,36.51,0.04,20,0.0,0.0,0.0,15.0,0.0,0.0,5.0,4,やや安値圏,0.315,-1.99,22,0,0.0,0.093,15,72,2.0,3.5,2.0,False,70,https://www.geckoterminal.com/solana/pools/DRAf8QxQY86h7yeHdo9GytXAF6GoTTT8oZjknwXV6dCS,DRAf8QxQY86h7yeHdo9GytXAF6GoTTT8oZjknwXV6dCS,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,2026-02-26 09:18:19,0.0069478549049029,0.0069143975070561,0.0070476612801158,0.0070476612801158,0.0068033384069124,False,False,WIN+,1.58
ba74d8c8,2026-02-26 08:04:42,1772060682,maxxing,$1M〜$5M,3045531,216672,0.0029994616540735,0.0022212659196956,0.0042445748290781,1.6,0.0003112782937511,0.0029949723615965,39.12,0.03,37,0.0,20.0,0.0,15.0,2.2,0.0,0.0,3,中間,0.421,0.15,4,1,0.25,0.389,15,75,2.5,4.0,3.0,False,70,https://www.geckoterminal.com/solana/pools/DMnTidVC8dMxRxUzFyZ4StQkbS4R8ACwxhNsEyi6u3Lx,DMnTidVC8dMxRxUzFyZ4StQkbS4R8ACwxhNsEyi6u3Lx,32CdQdBUxbCsLy5AUHWmyidfwhgGUr9N573NBUrDpump,2026-02-26 09:18:32,0.0032820738495273,0.0031679136729568,0.0033154593854165,0.0034834185834278,0.002978131683513,False,False,WIN+,10.54
